index,Names_EN,Names_VI
0,Fungal infection,Nhiễm nấm
1,Allergy,Dị ứng
2,GERD,Bệnh trào ngược dạ dày thực quản
3,Chronic cholestasis,Ứ mật mạn tính
4,Drug Reaction,Phản ứng thuốc
5,Peptic ulcer disease,Bệnh loét dạ dày tá tràng
6,AIDS,Hội chứng suy giảm miễn dịch (AIDS)
7,Diabetes,Bệnh tiểu đường
8,Gastroenteritis,Viêm dạ dày ruột
9,Bronchial Asthma,Hen phế quản
10,Hypertension,Tăng huyết áp
11,Migraine,Đau nửa đầu
12,Cervical spondylosis,Thoái hóa đốt sống cổ
13,Paralysis (brain hemorrhage),Liệt (xuất huyết não)
14,Jaundice,Vàng da
15,Malaria,Sốt rét
16,Chicken pox,Thủy đậu
17,Dengue,Sốt xuất huyết
18,Typhoid,Thương hàn
19,Hepatitis A,Viêm gan A
20,Hepatitis B,Viêm gan B
21,Hepatitis C,Viêm gan C
22,Hepatitis D,Viêm gan D
23,Hepatitis E,Viêm gan E
24,Alcoholic hepatitis,Viêm gan do rượu
25,Tuberculosis,Bệnh lao
26,Common Cold,Cảm lạnh
27,Pneumonia,Viêm phổi
28,Dimorphic hemorrhoids (piles),Bệnh trĩ
29,Heart attack,Nhồi máu cơ tim
30,Varicose veins,Giãn tĩnh mạch
31,Hypothyroidism,Suy giáp
32,Hyperthyroidism,Cường giáp
33,Hypoglycemia,Hạ đường huyết
34,Osteoarthritis,Thoái hóa khớp
35,Arthritis,Viêm khớp
36,(vertigo) Paroxysmal Positional Vertigo,Chóng mặt tư thế kịch phát lành tính
37,Acne,Mụn trứng cá
38,Urinary tract infection,Nhiễm trùng đường tiểu
39,Psoriasis,Bệnh vảy nến
40,Impetigo,Bệnh chốc